console,full_name,year_released,global_sales,maker,console_type
Wii,Wii,2006,101.63,Nintendo,home
NES,Nintendo Entertainment System,1985,61.91,Nintendo,home
GB,GameBoy,1989,118.69,Nintendo,handheld
DS,Nintendo DS,2004,154.02,Nintendo,handheld
X360,Xbox 360,2005,84,MicroSoft,home
PS3,Playstation 3,2006,87.4,Sony,home
PS2,Playstation 2,2000,155,Sony,home
SNES,Super Nintendo Enterntainment System,1991,49.1,Nintendo,home
GBA,GameBoy Advance,2001,81.51,Nintendo,handheld
PS4,Playstation 4,2013,114.9,Sony,home
3DS,Nintendo 3DS,2011,75.94,Nintendo,handheld
N64,Nintendo 64,1996,32.93,Nintendo,home
PS,Playstation,1994,102.49,Sony,home
XB,Xbox,2001,24,MicroSoft,home
PC,PC,1958,,PC,home
2600,Atari 2600,1977,30,Atari,home
PSP,Playstation Portable,2004,82,Sony,handheld
XOne,Xbox One,2013,51,MicroSoft,home
WiiU,Wii U,2012,13.56,Nintendo,home
GC,Gamecube,2001,21.74,Nintendo,home
GEN,Sega Genesis,1988,30.75,Sega,home
DC,Sega Dreamcast,1998,9.13,Sega,home
PSV,Playstation Vita,2011,15,Sony,handheld
SAT,Sega Saturn,1994,9.26,Sega,home
SCD,Sega CD,1991,2.24,Sega,home
WS,Wonder Swan,2003,3.5,Bandai,handheld
NG,Neo Geo,1990,1,SNK,home
TG16,TurboGrafx-16,1989,10,NEC,home
3DO,3DO Interactive Multiplayer,1993,2,3DO,home
GG,Game Gear,1990,10.62,Sega,handheld
PCFX,PC-FX,1994,0.4,NEC,home
