id,title,console,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
1,Asteroids,2600,1980,Shooter,Atari,4,0.26,0,0.05,4.31,,,,,,
2,Boxing,2600,1980,Fighting,Activision,0.72,0.04,0,0.01,0.77,,,,,,
3,Bridge,2600,1980,Misc,Activision,0.25,0.02,0,0,0.27,,,,,,
4,Checkers,2600,1980,Misc,Atari,0.22,0.01,0,0,0.24,,,,,,
5,Defender,2600,1980,Misc,Atari,0.99,0.05,0,0.01,1.05,,,,,,
6,Freeway,2600,1980,Action,Activision,0.32,0.02,0,0,0.34,,,,,,
7,Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0,0.01,0.49,,,,,,
8,Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0,0.01,1.15,,,,,,
9,Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76,,,,,,
10,Adventure,2600,1980,Adventure,Atari,1.21,0.08,0,0.01,1.3,,,,,,
11,Fast Food,2600,1981,Action,Telesys,0.27,0.02,0,0,0.29,,,,,,
12,Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01,0.67,,,,,,
13,Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77,,,,,,
14,Airlock,2600,1981,Action,Data Age,0.36,0.02,0,0,0.39,,,,,,
15,Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0,0.01,0.79,,,,,,
16,Armor Ambush,2600,1981,Action,Mattel Interactive,0.15,0.01,0,0,0.17,,,,,,
17,Astroblast,2600,1981,Action,Mattel Interactive,0.29,0.02,0,0,0.31,,,,,,
18,Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27,,,,,,
19,Barnstorming,2600,1981,Action,Activision,0.4,0.02,0,0,0.43,,,,,,
20,Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0,0.01,0.73,,,,,,
21,BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0,0.01,0.59,,,,,,
22,Carnival,2600,1981,Shooter,Coleco,0.32,0.02,0,0,0.34,,,,,,
23,Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36,,,,,,
24,Cosmic Ark,2600,1981,Shooter,Imagic,0.99,0.05,0,0.01,1.05,,,,,,
25,Crazy Climber,2600,1981,Action,Atari,0.21,0.01,0,0,0.22,,,,,,
26,Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0,0.01,0.82,,,,,,
27,Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0,0,0.24,,,,,,
28,Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0,0,0.22,,,,,,
29,Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0,0.02,2.13,,,,,,
30,Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0,0.02,1.46,,,,,,
31,Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0,0.01,0.97,,,,,,
32,Dragonfire,2600,1981,Action,Imagic,0.35,0.02,0,0,0.37,,,,,,
33,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0,0.02,1.97,,,,,,
34,Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,,,,,,
35,Fireball,2600,1981,Action,Starpath Corp.,0.3,0.02,0,0,0.33,,,,,,
36,Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0,0.02,2.2,,,,,,
37,Frogs And Flies,2600,1981,Action,Mattel Interactive,0.33,0.02,0,0,0.36,,,,,,
38,Front Line,2600,1981,Action,Taito,0.22,0.01,0,0,0.24,,,,,,
39,Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0,0,0.48,,,,,,
40,International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0,0,0.19,,,,,,
41,Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0,0,0.45,,,,,,
42,King Kong,2600,1981,Action,Tigervision,0.65,0.04,0,0.01,0.69,,,,,,
43,Laser Blast,2600,1981,Action,Activision,0.37,0.02,0,0,0.39,,,,,,
44,Megamania,2600,1981,Shooter,Activision,1.03,0.06,0,0.01,1.1,,,,,,
45,Mouse Trap,2600,1981,Action,Coleco,0.38,0.02,0,0,0.4,,,,,,
46,Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0,0.02,1.65,,,,,,
47,Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0,0,0.45,,,,,,
48,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5,,,,,,
49,Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0,0.01,0.5,,,,,,
50,Reactor,2600,1981,Action,Parker Bros.,0.21,0.01,0,0,0.22,,,,,,
51,RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0,0,0.21,,,,,,
52,RealSports Football,2600,1981,Sports,Atari,0.24,0.01,0,0,0.26,,,,,,
53,RealSports Volleyball,2600,1981,Sports,Atari,0.12,0.01,0,0,0.13,,,,,,
54,River Raid,2600,1981,Shooter,Activision,1.49,0.09,0,0.02,1.6,,,,,,
55,Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0,0.01,0.59,,,,,,
56,Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0,0.01,0.93,,,,,,
57,Action Force,2600,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54,,,,,,
58,Alien's Return,2600,1982,Action,ITT Family Games,0.32,0.02,0,0,0.34,,,,,,
59,Assault,2600,1982,Action,Bomb,0.21,0.01,0,0,0.22,,,,,,
60,Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,,,,,,
61,Battlezone,2600,1982,Shooter,Atari,0.58,0.03,0,0.01,0.62,,,,,,
62,Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,0.37,0.02,0,0,0.39,,,,,,
63,Chopper Command,2600,1982,Shooter,Activision,0.47,0.03,0,0.01,0.5,,,,,,
64,Congo Bongo,2600,1982,Action,Sega,0.37,0.02,0,0,0.4,,,,,,
65,Death Trap,2600,1982,Action,Avalon Interactive,0.15,0.01,0,0,0.17,,,,,,
66,Dig Dug,2600,1982,Puzzle,Atari,1.52,0.1,0,0.02,1.64,,,,,,
67,Enduro,2600,1982,Misc,Quelle,0.81,0.05,0,0.01,0.87,,,,,,
68,Frankenstein's Monster,2600,1982,Action,Data Age,0.3,0.02,0,0,0.32,,,,,,
69,Galaxian,2600,1982,Shooter,Atari,0.72,0.05,0,0.01,0.77,,,,,,
70,Gauntlet,2600,1982,Action,Answer Software,0.46,0.03,0,0.01,0.5,,,,,,
71,Gravitar,2600,1982,Action,Atari,0.35,0.02,0,0,0.38,,,,,,
72,Halloween,2600,1982,Action,Wizard Video Games,0.58,0.03,0,0.01,0.62,,,,,,
73,Joust,2600,1982,Platform,Atari,1.01,0.06,0,0.01,1.08,,,,,,
74,Jungle Hunt,2600,1982,Platform,Atari,1.03,0.06,0,0.01,1.1,,,,,,
75,Kangaroo,2600,1982,Platform,Atari,0.67,0.04,0,0.01,0.72,,,,,,
76,Keystone Kapers,2600,1982,Action,Activision,0.62,0.04,0,0.01,0.66,,,,,,
77,Krull,2600,1982,Action,Atari,0.13,0.01,0,0,0.14,,,,,,
78,Mario Bros.,2600,1982,Platform,Atari,1.48,0.09,0,0.02,1.59,,,,,,
79,Moon Patrol,2600,1982,Shooter,Atari,1.05,0.06,0,0.01,1.12,,,,,,
80,Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0,0,0.31,,,,,,
81,Mr. Do!,2600,1982,Action,Coleco,0.26,0.02,0,0,0.27,,,,,,
82,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,,,,,,
83,Polaris,2600,1982,Action,Tigervision,0.26,0.02,0,0,0.28,,,,,,
84,Pole Position,2600,1982,Racing,Atari,1.1,0.07,0,0.01,1.18,,,,,,
85,Popeye,2600,1982,Platform,Parker Bros.,0.5,0.03,0,0.01,0.54,,,,,,
86,Porky's,2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0,0,0.25,,,,,,
87,Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0,0,0.15,,,,,,
88,Q*bert,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0,0.01,0.58,,,,,,
89,RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0,0.01,0.5,,,,,,
90,The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0,0.01,0.55,,,,,,
91,X-Man,2600,1982,Action,Universal Gamex,0.58,0.04,0,0.01,0.63,,,,,,
92,Yars' Revenge,2600,1982,Shooter,Atari,0.73,0.04,0,0.01,0.78,,,,,,
93,Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2,,,,,,
94,Crystal Castles,2600,1983,Action,Atari,0.72,0.04,0,0.01,0.77,,,,,,
95,Dolphin,2600,1983,Action,Activision,0.27,0.02,0,0,0.29,,,,,,
96,Donkey Kong,NES,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13,,,,,,
97,Donkey Kong Jr.,NES,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11,,,,,,
98,Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,0.31,0.02,0,0,0.33,,,,,,
99,Frostbite,2600,1983,Action,Activision,0.32,0.02,0,0,0.34,,,,,,
100,Gremlins,2600,1983,Action,Atari,0.43,0.03,0,0,0.46,,,,,,
101,Jr. Pac-Man,2600,1983,Puzzle,Atari,0.72,0.05,0,0.01,0.78,,,,,,
102,Mahjong,NES,1983,Misc,Nintendo,0.01,0,2.13,0,2.14,,,,,,
103,Mario Bros.,NES,1983,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28,,,,,,
104,Midnight Magic,2600,1983,Action,Atari,0.47,0.03,0,0.01,0.5,,,,,,
105,Millipede,2600,1983,Shooter,Atari,0.45,0.03,0,0.01,0.48,,,,,,
106,Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.15,0.01,0,0,0.17,,,,,,
107,Pengo,2600,1983,Adventure,Atari,0.38,0.02,0,0,0.4,,,,,,
108,Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0,0.02,1.31,,,,,,
109,Popeye,NES,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1,,,,,,
110,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0,0,1.45,0,1.45,,,,,,
111,Beamrider,2600,1984,Racing,Activision,0.26,0.01,0,0,0.27,,,,,,
112,Clu Clu Land,NES,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82,,,,,,
113,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,,,,,,
114,Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16,,,,,,
115,F1 Race,NES,1984,Racing,Nintendo,0,0,1.52,0,1.52,,,,,,
116,Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01,,,,,,
117,Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,,,,,,
118,Lode Runner,NES,1984,Puzzle,Hudson Soft,0,0,1.1,0,1.1,,,,,,
119,Mappy,NES,1984,Platform,Namco Bandai Games,0,0,0.69,0,0.69,,,,,,
120,Pac-Man,NES,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22,,,,,,
121,Pinball,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85,,,,,,
122,Tennis,NES,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17,,,,,,
123,Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52,,,,,,
124,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0,1,,,,,,
125,Alter Ego,PC,1985,Simulation,Activision,0,0.03,0,0.01,0.03,59,9,58,19,"Viva Media, Viva Media, LLC",T
126,Balloon Fight,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92,,,,,,
127,Bomberman,NES,1985,Puzzle,Hudson Soft,0.18,0,0.85,0,1.03,,,,,,
128,Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0,0,0.41,0,0.41,,,,,,
129,Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0,0,0.45,,,,,,
130,Gyromite,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32,,,,,,
131,Ice Climber,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5,,,,,,
132,Kung Fu,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5,,,,,,
133,Soccer,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96,,,,,,
134,Strongest Tokyo University Shogi DS,DS,1985,Action,Mycom,0,0,0.02,0,0.02,,,,,,
135,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,,,,,,
136,Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,0,0,1.05,0,1.05,,,,,,
137,Wrecking Crew,NES,1985,Platform,Nintendo,0,0,0.51,0,0.51,,,,,,
138,Adventure Island,NES,1986,Platform,Hudson Soft,0,0,1.05,0,1.05,,,,,,
139,Castlevania,NES,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,,,,,,
140,Commando,NES,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14,,,,,,
141,Doraemon,NES,1986,Action,Hudson Soft,0,0,1.15,0,1.15,,,,,,
142,Dragon Warrior,NES,1986,Role-Playing,Capcom,0.49,0,0.52,1.51,2.52,,,,,,
143,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,0,0,1.2,0,1.2,,,,,,
144,Ghosts 'n Goblins,NES,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64,,,,,,
145,Gradius,NES,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1,0.01,1.36,,,,,,
146,Kid Icarus,NES,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76,,,,,,
147,Metroid,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73,,,,,,
148,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,0,0,1.5,0,1.5,,,,,,
149,Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,0.15,0,2.05,0,2.2,,,,,,
150,Rad Racer,NES,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96,,,,,,
151,RealSports Boxing,2600,1986,Sports,Atari,0.28,0.02,0,0,0.29,,,,,,
152,Solaris,2600,1986,Shooter,Atari,0.35,0.02,0,0,0.37,,,,,,
153,Star Soldier,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96,,,,,,
154,Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,0,0,2.65,0,2.65,,,,,,
155,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,,
156,The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0,0,0.57,0,0.57,,,,,,
157,TwinBee,NES,1986,Shooter,Konami Digital Entertainment,0,0,1.2,0,1.2,,,,,,
158,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08,,,,,,
159,Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0,0.93,,,,,,
160,Commando,2600,1987,Action,Activision,0.44,0.02,0,0,0.47,,,,,,
161,Defender II,2600,1987,Shooter,Atari,0.42,0.02,0,0,0.45,,,,,,
162,Desert Falcon,2600,1987,Shooter,Atari,0.24,0.01,0,0,0.26,,,,,,
163,Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,0.15,0,2.41,0,2.56,,,,,,
164,Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.32,0,0.52,0,0.84,,,,,,
