id,Name,console,Year_of_Release,Genre,Publisher,NA_players,EU_players,JP_players,Other_players,Global_players,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,unique_by_name,unique_by_year
1,Asteroids,2600,1980,Shooter,Atari,4,0.26,0,0.05,4.31,,,,,,,asteroids-1980-2600-1,1980-asteroids-2600-1
2,Boxing,2600,1980,Fighting,Activision,0.72,0.04,0,0.01,0.77,,,,,,,boxing-1980-2600-2,1980-boxing-2600-2
3,Bridge,2600,1980,Misc,Activision,0.25,0.02,0,0,0.27,,,,,,,bridge-1980-2600-3,1980-bridge-2600-3
4,Checkers,2600,1980,Misc,Atari,0.22,0.01,0,0,0.24,,,,,,,checkers-1980-2600-4,1980-checkers-2600-4
5,Defender,2600,1980,Misc,Atari,0.99,0.05,0,0.01,1.05,,,,,,,defender-1980-2600-5,1980-defender-2600-5
6,Freeway,2600,1980,Action,Activision,0.32,0.02,0,0,0.34,,,,,,,freeway-1980-2600-6,1980-freeway-2600-6
7,Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0,0.01,0.49,,,,,,,ice hockey-1980-2600-7,1980-ice hockey-2600-7
8,Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0,0.01,1.15,,,,,,,kaboom!-1980-2600-8,1980-kaboom!-2600-8
9,Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76,,,,,,,missile command-1980-2600-9,1980-missile command-2600-9
10,Adventure,2600,1980,Adventure,Atari,1.21,0.08,0,0.01,1.3,,,,,,,adventure-1980-2600-10,1980-adventure-2600-10
11,Fast Food,2600,1981,Action,Telesys,0.27,0.02,0,0,0.29,,,,,,,fast food-1981-2600-11,1981-fast food-2600-11
12,Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01,0.67,,,,,,,adventures of tron-1981-2600-12,1981-adventures of tron-2600-12
13,Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77,,,,,,,air raid-1981-2600-13,1981-air raid-2600-13
14,Airlock,2600,1981,Action,Data Age,0.36,0.02,0,0,0.39,,,,,,,airlock-1981-2600-14,1981-airlock-2600-14
